msoa11cd,geometry
E02004299,POINT (419926.681483693 553402.2144507447)
E02004298,POINT (410017.3213478411 553106.4925654992)
E02002526,POINT (466332.4242103961 519075.4459574193)
E02002524,POINT (468688.4679919514 519772.1286345377)
E02002525,POINT (455771.9706475345 518857.3710702596)
E02002523,POINT (455310.045869695 519851.6891306386)
E02002520,POINT (463078.1935854629 522100.9486571811)
E02002521,POINT (466138.5964109028 521188.7668807856)
E02002529,POINT (454811.3577994973 517770.3773914819)
E02001726,POINT (421262.3368231581 565476.1190955768)
E02001727,POINT (429017.5323014629 565595.8532086527)
E02001724,POINT (425732.0125665347 565833.7029935714)
E02001725,POINT (427183.7473474704 565664.0678875672)
E02001722,POINT (419245.4930103172 566273.3743578127)
E02001723,POINT (421840.4179748534 565988.8051816609)
E02001720,POINT (425267.1941723803 566606.0715216474)
E02001721,POINT (416162.7375201948 566468.1197015654)
E02001728,POINT (418667.9021642273 565197.8129569679)
E02001729,POINT (423121.1473602731 564836.2424748373)
E02004344,POINT (427417.0251659274 524676.6892571546)
E02004345,POINT (413735.7395636775 524268.4619890539)
E02004342,POINT (426848.4273707908 525377.110174373)
E02004343,POINT (428353.2040875817 525139.6201353453)
E02004340,POINT (423095.9093198749 526286.2312066457)
E02004341,POINT (426990.2645448723 526185.754296524)
E02004349,POINT (415852.1242051942 535661.7108499501)
E02005724,POINT (419679.8896179302 585022.8292417023)
E02001686,POINT (417681.4724163149 562797.3014223073)
E02005246,POINT (388392.1289521166 439605.3343428377)
E02005247,POINT (385326.9924647164 439189.040374859)
E02005244,POINT (388555.4977812969 440447.5257062496)
E02005245,POINT (390628.2890848047 440188.2073868603)
E02005242,POINT (390615.6293222853 446355.3569553904)
E02005243,POINT (389518.9028723589 440525.3962517126)
E02005240,POINT (387757.4610172923 447184.8049440543)
E02005241,POINT (387803.1344808207 446522.2062552242)
E02001236,POINT (396118.6160367343 399187.9519574765)
E02001237,POINT (397513.637874978 399042.4337869094)
E02001234,POINT (394072.5635741677 400168.6898405051)
E02001235,POINT (394849.3969491887 399214.2645122642)
E02001232,POINT (395155.8339490037 400205.7281517175)
E02001233,POINT (392952.2984925966 400161.9130837449)
E02001230,POINT (394113.0068571951 401093.04337481)
E02005248,POINT (386402.7855937452 438461.2593385167)
E02001231,POINT (398203.0686082998 400717.7988228514)
E02005249,POINT (386677.3462273178 437709.6267356145)
E02001238,POINT (391078.3406140861 398794.2828085044)
E02001239,POINT (390107.2994555529 398735.8914672886)
E02002636,POINT (332249.6059171477 438972.5158941324)
E02002637,POINT (331648.6356689516 438035.3673200846)
E02002634,POINT (332385.1236043075 440568.170849113)
E02002635,POINT (331235.7577406771 440067.3110898546)
E02002632,POINT (372904.7572865763 417851.2803907853)
E02002633,POINT (331840.7090348366 442020.9758461094)
E02002630,POINT (368979.1000149566 422462.7519463099)
E02002631,POINT (369916.7839352046 421115.1172124505)
E02002638,POINT (330899.2100696818 437695.2492868734)
E02002639,POINT (333152.8516001975 437661.7130675088)
E02003977,POINT (321819.368739819 476873.278074502)
E02003974,POINT (300225.2649854896 527500.6510104593)
E02003972,POINT (301303.5510045546 530107.4907474954)
E02003973,POINT (299572.8262952224 527576.3930011354)
E02003970,POINT (309007.2074546896 530485.0421673998)
E02003971,POINT (312606.0780598585 530354.7041914241)
E02003978,POINT (323073.0533009204 473673.5409181509)
E02003979,POINT (320896.184951076 471496.6173547076)
E02001106,POINT (392396.6070543453 407165.4638815994)
E02001187,POINT (389834.750614523 394266.5050353214)
E02001186,POINT (370944.7728044639 392642.7480737541)
E02001107,POINT (390554.1837709341 406303.9276067247)
E02001185,POINT (372507.5573307946 395047.3722370007)
E02001104,POINT (395104.4374266156 407614.9798858002)
E02001184,POINT (381529.6891527012 397483.0849935865)
E02001105,POINT (391419.6818185806 407316.9014187292)
E02001183,POINT (376125.7720306311 397956.3111588386)
E02001102,POINT (392913.4463167055 408052.7261293572)
E02001182,POINT (376940.8368925879 398171.9857651886)
E02001103,POINT (399543.1872992551 407865.5086720756)
E02001181,POINT (375442.8999297404 398209.2568888827)
E02001100,POINT (393953.4037880041 408940.46455318)
E02001180,POINT (381249.3693714162 398923.5242566759)
E02001101,POINT (391382.7599768712 408670.1483552963)
E02001108,POINT (393984.3327704681 406231.412254683)
E02001189,POINT (389379.5444411813 392816.8080701684)
E02001109,POINT (394690.4444663514 405944.4273120699)
E02001188,POINT (389127.6443649064 394143.7911396602)
E02001056,POINT (388328.8935912343 399092.218037155)
E02001057,POINT (385709.284330182 398632.4784228353)
E02006871,POINT (345814.0193336761 463446.747265002)
E02001055,POINT (388304.9854413432 400245.0163876967)
E02001052,POINT (384345.1292655662 401605.1657785352)
E02001053,POINT (386211.6545549927 401031.7499579931)
E02001050,POINT (385858.1651239413 402089.1146097601)
E02001051,POINT (387155.9449857029 401802.5442061163)
E02003816,POINT (385817.9844461848 363226.9420198936)
E02003817,POINT (384327.2535619204 363111.940536243)
E02004006,POINT (302315.2871340921 506550.0851828331)
E02003814,POINT (370693.6350987169 365145.7019139453)
E02001059,POINT (387418.388642089 398159.7278465989)
