index,Distance in meter,origin_id,destination_id
489,3787.6,E02002758,11121
490,10878.8,E02002758,11234
491,3982.4,E02002758,11442
492,3823.4,E02002758,12361
493,2386.3,E02002758,12420
494,2198.1,E02002758,12784
495,1933,E02002758,12837
496,3750.6,E02002758,13450
497,1926.6,E02002758,13659
498,13775.6,E02002758,14174
499,3840.1,E02002758,14210
500,12850.9,E02002758,14238
501,4402.3,E02002758,14973
502,13550.9,E02002758,15013
503,2138.8,E02002758,15645
504,2342.6,E02002758,15987
505,2316.6,E02002758,16223
506,3061.7,E02002758,18398
507,4622.5,E02002758,19454
508,1856,E02002758,20022
509,10812.1,E02002758,21054
510,13317.2,E02002759,350
511,12967.8,E02002759,369
512,14088.1,E02002759,2936
513,14790.6,E02002759,4418
514,14897.1,E02002759,4834
515,16073.8,E02002759,4865
516,1443.4,E02002759,5058
517,14808.9,E02002759,5276
518,14911.3,E02002759,5497
519,15549.2,E02002759,5500
520,14593.8,E02002759,5503
521,14978.4,E02002759,5504
522,12793.3,E02002759,5506
523,1277.5,E02002759,5513
524,12927.5,E02002759,5520
525,13808.5,E02002759,6366
526,13318.7,E02002759,6463
527,16012.5,E02002759,6504
528,14211.7,E02002759,6713
529,15268.3,E02002759,7930
530,12969.4,E02002759,8385
531,15697.9,E02002759,8561
532,14574,E02002759,9074
533,15481.2,E02002759,10172
534,14680.6,E02002759,10521
535,14978.4,E02002759,10707
536,10932.8,E02002759,11121
537,7778.5,E02002759,11234
538,13801.6,E02002759,11442
539,13331.5,E02002759,12420
540,15536,E02002759,12784
541,15270.9,E02002759,12837
542,11370.2,E02002759,13450
543,15264.4,E02002759,13659
544,1960.7,E02002759,14174
545,1079,E02002759,14238
546,1736,E02002759,15013
547,15629.5,E02002759,15645
548,14835.6,E02002759,15987
549,15654.5,E02002759,16223
550,12352.8,E02002759,18398
551,14649.6,E02002759,20022
552,2732.4,E02002760,350
553,3303.4,E02002760,369
554,1864.2,E02002760,2936
555,11249.5,E02002760,4149
556,2324.4,E02002760,4418
557,7007.6,E02002760,4834
558,14875.4,E02002760,4845
559,13846.6,E02002760,5058
560,3244.3,E02002760,5276
561,2445.1,E02002760,5497
562,4964.4,E02002760,5500
563,4009,E02002760,5503
564,2512.2,E02002760,5504
565,3128.9,E02002760,5506
566,13970.8,E02002760,5513
567,2996.5,E02002760,5520
568,4165.5,E02002760,6366
569,2733.9,E02002760,6463
570,15725.6,E02002760,6504
571,3449.7,E02002760,6713
572,3161.4,E02002760,7930
573,3304.9,E02002760,8385
574,2019.5,E02002760,8561
575,2679.8,E02002760,8987
576,2746.1,E02002760,9074
577,2260.9,E02002760,10116
578,2410.5,E02002760,10172
579,11472.5,E02002760,10382
580,11249.5,E02002760,10504
581,2214.4,E02002760,10521
582,2512.2,E02002760,10707
583,3158.3,E02002760,11019
584,4709,E02002760,11121
585,11800.2,E02002760,11234
586,4158.6,E02002760,11442
587,2237.5,E02002760,12361
588,2562.5,E02002760,12420
589,3069.8,E02002760,12784
590,2804.7,E02002760,12837
591,4969.2,E02002760,13450
592,2798.2,E02002760,13659
593,14697,E02002760,14174
594,2692.4,E02002760,14210
595,13772.3,E02002760,14238
596,2816.4,E02002760,14973
597,14472.3,E02002760,15013
598,14985.4,E02002760,15308
599,1550.6,E02002760,15645
600,756.7,E02002760,15987
601,1976.1,E02002760,16223
602,3851.8,E02002760,18398
603,3036.6,E02002760,19454
604,2727.7,E02002760,20022
605,10988.3,E02002760,21054
606,11199.4,E02002761,350
607,10850.1,E02002761,369
608,11970.3,E02002761,2936
609,12327.8,E02002761,4149
610,12672.8,E02002761,4418
611,12779.4,E02002761,4834
612,6822.6,E02002761,5058
613,12691.2,E02002761,5276
