index,geometry,point_lon,point_lat
137,POINT (-1.217246786575824 54.55261979163015),-1.217246787,54.55261979
138,POINT (-1.102235886768148 53.9877204910619),-1.102235887,53.98772049
139,POINT (-1.083554986766671 53.96998169104338),-1.083554987,53.96998169
140,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
141,POINT (-1.109603786986316 53.53076249061802),-1.109603787,53.53076249
142,POINT (-1.14596068702185 53.49481579058514),-1.145960687,53.49481579
143,POINT (-0.0922641876189029 51.50074378878069),-0.092264188,51.50074379
144,POINT (-1.492303487255473 53.37917099048964),-1.492303487,53.37917099
145,POINT (-0.1654127876155607 51.55308108882268),-0.165412788,51.55308109
146,POINT (-1.818989187305181 53.65571629077579),-1.818989187,53.65571629
147,POINT (-1.818989187305181 53.65571629077579),-1.818989187,53.65571629
148,POINT (-1.425776387026653 53.79594419089241),-1.425776387,53.79594419
149,POINT (-1.425776387026653 53.79594419089241),-1.425776387,53.79594419
150,POINT (-0.05886868759672665 51.51787078879525),-0.058868688,51.51787079
151,POINT (-0.1743486876392853 51.51781078879349),-0.174348688,51.51781079
152,POINT (-0.1179685876278126 51.50164028878103),-0.117968588,51.50164029
153,POINT (-0.08618288760634309 51.51849618879535),-0.086182888,51.51849619
154,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
155,POINT (-0.1277582876280974 51.50735088878556),-0.127758288,51.50735089
156,POINT (-1.564676086777633 54.53175269163501),-1.564676087,54.53175269
157,POINT (-0.1277582876280974 51.50735088878556),-0.127758288,51.50735089
158,POINT (-0.3572664877156977 51.50514378878043),-0.357266488,51.50514379
159,POINT (-2.899895788134503 53.21205329038873),-2.899895788,53.21205329
160,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
161,POINT (-2.899580288048859 53.41196799058829),-2.899580288,53.41196799
162,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
163,POINT (-0.07014758760457937 51.51145518878982),-0.070147588,51.51145519
164,POINT (-0.1052210876039116 51.53470608880838),-0.105221088,51.53470609
165,POINT (-0.09093828763733293 51.46829068875413),-0.090938288,51.46829069
166,POINT (-0.09093828763733293 51.46829068875413),-0.090938288,51.46829069
167,POINT (-2.965993788073588 53.45142359063118),-2.965993788,53.45142359
168,POINT (-2.476518787921937 53.11844419027838),-2.476518788,53.11844419
169,POINT (-0.1422451876236649 51.5242154887992),-0.142245188,51.52421549
170,POINT (-2.979219688005908 53.63330429081549),-2.979219688,53.63330429
171,POINT (-2.785322887974398 53.42123019059199),-2.785322888,53.42123019
172,POINT (-2.610821487880084 53.39404219055647),-2.610821488,53.39404219
173,POINT (-3.095527888189668 53.36905019055465),-3.095527888,53.36905019
174,POINT (-0.0898346876023788 51.52761138880279),-0.089834688,51.52761139
175,POINT (-2.292604487628962 53.53649949068238),-2.292604488,53.53649949
176,POINT (-2.227739287624684 53.46075689060409),-2.227739288,53.46075689
177,POINT (-0.06611218762487669 51.47414368875935),-0.066112188,51.47414369
178,POINT (-0.06611218762487669 51.47414368875935),-0.066112188,51.47414369
179,POINT (-2.629406487820543 53.55817849072129),-2.629406488,53.55817849
180,POINT (-0.1503092876599398 51.46685768875199),-0.150309288,51.46685769
181,POINT (-2.133071187604446 53.3843970905243),-2.133071188,53.38439709
